geo_level,geo_name,year,pop_black_alone,pct_black_alone,pct_owner_occupied_black_alone,median_home_value_owner_occupied_houses_with_mortages,median_home_value_owner_occupied_houses_without_mortages,median_monthly_housing_costs_owner_occupied_houses_with_mortages,median_monthly_housing_costs_owner_occupied_houses_without_mortages,median_real_estate_taxes_owner_occupied_houses_with_mortages,median_real_estate_taxes_owner_occupied_houses_without_mortages
zcta,37010,2021,453,8.4,11.9,290300,257400,1809,474,1764,1797
zcta,37012,2021,68,3.3,1.7,145200,171700,889,362,548,770
zcta,37013,2021,36750,36.0,35.2,227600,216100,1375,476,1542,1630
zcta,37014,2021,11,0.4,0.5,675600,473100,3039,579,3020,2386
zcta,37015,2021,364,1.9,1.9,192800,194600,1260,422,1163,1305
zcta,37016,2021,0,0.0,0.0,,157800,1069,395,1047,592
zcta,37018,2021,7,0.3,0.0,158500,97400,1205,316,574,542
zcta,37019,2021,31,3.9,19.5,160100,159700,1179,386,900,1070
zcta,37020,2021,187,3.6,8.5,198600,265000,1363,472,1157,1181
zcta,37022,2021,242,3.7,2.5,172100,210700,1194,394,867,917
zcta,37023,2021,3,0.2,0.0,129800,155600,1036,378,,1138
zcta,37025,2021,19,0.4,0.0,224600,87100,1171,313,1146,681
zcta,37026,2021,0,0.0,0.0,184100,137500,1254,400,1116,1156
zcta,37027,2021,2392,3.9,2.8,670100,639200,2787,776,3520,3552
zcta,37028,2021,2,0.6,0.0,232200,96300,1259,370,1144,
zcta,37029,2021,69,1.0,1.3,315600,217000,1676,468,1673,1311
zcta,37030,2021,297,3.8,1.4,183200,174700,1166,389,996,1094
zcta,37031,2021,71,1.7,1.7,251800,207100,1458,430,1182,1355
zcta,37032,2021,86,1.6,1.5,217900,171400,1402,412,1139,1108
zcta,37033,2021,110,1.4,2.9,150800,154100,1039,374,927,926
zcta,37034,2021,43,0.6,1.1,243200,164200,1318,388,1367,941
zcta,37035,2021,31,0.9,0.0,190200,96800,1309,406,1300,1233
zcta,37036,2021,134,2.1,0.6,169600,202500,1162,422,900,1092
zcta,37037,2021,492,5.6,8.4,268000,278700,1450,457,1355,1387
zcta,37040,2021,15065,25.8,18.8,193800,162900,1362,393,1557,1239
zcta,37042,2021,21936,26.5,25.1,161400,130900,1255,406,1397,1175
zcta,37043,2021,4405,8.5,7.4,260200,251100,1555,494,1855,1912
zcta,37046,2021,0,0.0,0.0,575600,650300,2848,536,2270,2004
zcta,37047,2021,81,3.6,9.6,155700,113800,994,416,1119,847
zcta,37048,2021,68,1.0,0.2,301700,274100,1653,441,1435,1364
zcta,37049,2021,51,1.3,1.4,245900,255800,1492,469,1394,1238
zcta,37050,2021,118,6.5,5.9,182100,97600,1097,363,890,717
zcta,37051,2021,0,0.0,0.0,221100,139600,1366,380,1251,784
zcta,37052,2021,0,0.0,0.0,185000,186800,1311,454,1272,1120
zcta,37055,2021,1677,5.9,6.1,192000,182600,1236,397,1289,1088
zcta,37057,2021,65,9.1,0.0,,166600,,376,,692
zcta,37058,2021,27,0.4,1.2,173300,156300,1246,402,1067,1001
zcta,37059,2021,25,1.7,2.0,157700,111600,986,262,428,561
zcta,37060,2021,103,3.8,8.4,275700,280400,1260,414,1423,1259
zcta,37061,2021,304,5.7,4.9,160800,116700,1022,393,901,789
zcta,37062,2021,422,3.3,2.3,284700,246400,1615,405,1505,1433
zcta,37064,2021,4074,6.7,5.4,495000,455200,2179,553,2587,2195
zcta,37066,2021,7234,12.6,6.1,284400,284000,1480,506,1610,1750
zcta,37067,2021,1257,3.9,1.7,528000,498700,2391,643,2811,2754
zcta,37069,2021,610,3.0,1.6,545300,592100,2473,681,2630,2769
zcta,37072,2021,4792,14.9,8.2,263400,236200,1467,482,1705,1712
zcta,37073,2021,147,1.0,1.6,267800,251400,1548,486,1651,1357
zcta,37074,2021,1158,11.0,3.7,199200,132900,1289,457,951,1206
zcta,37075,2021,6016,8.5,6.0,310300,313900,1727,555,2013,2068
zcta,37076,2021,9597,24.9,11.0,257300,253500,1435,508,1615,1774
zcta,37078,2021,0,0.0,0.0,131500,239300,858,296,533,757
zcta,37079,2021,0,0.0,0.0,247100,102600,1487,361,,704
zcta,37080,2021,449,6.3,10.6,259100,239400,1610,453,1387,1581
zcta,37082,2021,75,1.3,0.2,293600,265900,1544,460,1680,1723
zcta,37083,2021,42,0.3,0.3,170700,122500,1134,362,807,799
zcta,37085,2021,104,2.0,4.3,319700,283200,1844,498,1649,1656
zcta,37086,2021,8847,24.1,21.8,200200,219000,1276,422,1262,1338
zcta,37087,2021,4588,9.0,5.5,296900,256300,1627,461,1621,1571
zcta,37090,2021,457,2.9,1.4,291000,258300,1600,450,1557,1304
zcta,37091,2021,1624,7.0,5.8,187300,152000,1148,400,1068,1093
zcta,37095,2021,29,1.1,1.2,157800,156500,1129,293,685,727
zcta,37096,2021,61,1.0,1.3,80300,102500,881,316,642,599
zcta,37097,2021,0,0.0,0.0,121300,114300,972,363,743,600
zcta,37098,2021,63,1.0,2.0,159200,105900,1232,368,1053,794
zcta,37101,2021,3,0.0,0.0,171700,140200,1135,341,762,835
zcta,37110,2021,942,2.9,1.6,133400,121200,988,339,730,743
zcta,37115,2021,14158,34.3,27.2,214000,197200,1266,459,1420,1347
zcta,37118,2021,0,0.0,0.0,301200,356200,1375,511,1691,
zcta,37122,2021,4222,6.7,4.4,340300,320500,1831,470,1689,1612
zcta,37127,2021,2858,14.1,11.1,270300,256000,1533,444,1453,1417
zcta,37128,2021,9260,13.4,12.2,273900,273800,1602,472,1766,1791
zcta,37129,2021,7186,12.1,7.6,272100,264900,1567,448,1534,1544
zcta,37130,2021,12071,20.4,9.1,272700,211800,1436,461,1665,1596
zcta,37132,2021,785,29.5,,,,,,,
zcta,37134,2021,12,0.4,0.0,120600,109800,1037,424,863,698
zcta,37135,2021,1518,7.2,5.8,457200,460800,2302,614,2432,1898
zcta,37137,2021,98,4.0,3.7,122800,82200,1056,296,870,635
zcta,37138,2021,2541,10.5,9.7,258000,289400,1521,497,1460,1742
zcta,37140,2021,712,41.6,0.0,,,,,1767,
zcta,37141,2021,60,4.8,1.3,169500,219000,1165,500,1145,1833
zcta,37142,2021,11,0.5,0.0,187800,,1321,441,1442,1205
zcta,37143,2021,25,0.6,0.7,244300,255600,1495,473,1565,1634
zcta,37144,2021,59,1.7,2.1,135200,156800,1106,439,598,892
zcta,37145,2021,0,0.0,0.0,141600,123700,1179,413,705,800
zcta,37146,2021,437,5.8,3.1,263300,268100,1464,369,1470,1013
zcta,37148,2021,569,2.3,2.6,196200,182900,1239,390,1222,959
zcta,37149,2021,74,3.5,5.2,259600,173800,1549,345,1365,1087
zcta,37150,2021,98,2.1,0.0,161400,84700,1128,313,858,534
zcta,37151,2021,37,8.5,0.0,174500,203300,1134,388,908,1045
zcta,37153,2021,26,0.5,1.6,292000,335200,1547,384,1361,1274
zcta,37160,2021,2910,8.3,6.4,166900,162900,1076,425,994,1201
zcta,37165,2021,0,0.0,0.0,86400,118800,858,288,717,800
zcta,37166,2021,235,1.7,1.4,157800,145400,1001,323,578,717
zcta,37167,2021,9255,15.3,10.7,241500,235800,1404,424,1485,1512
zcta,37171,2021,0,0.0,0.0,,,1232,398,723,
zcta,37172,2021,4023,12.9,8.0,208100,199400,1328,450,1403,1149
zcta,37174,2021,2353,5.1,4.3,334900,312200,1745,443,1817,1512
zcta,37175,2021,0,0.0,0.0,112500,94400,987,406,,686
zcta,37178,2021,6,0.3,0.0,130800,80000,1139,331,1023,733
zcta,37179,2021,139,0.9,0.0,360500,434900,1933,575,1784,2213
zcta,37180,2021,61,1.4,0.8,226500,150000,1241,422,1187,910
zcta,37181,2021,1,0.1,0.2,146300,141700,1408,371,803,738
zcta,37183,2021,105,3.3,3.1,269600,152300,1438,390,1532,895
zcta,37184,2021,301,4.3,5.1,223300,151200,1505,380,1178,753
zcta,37185,2021,196,2.2,1.7,165800,105800,1130,351,1061,615
zcta,37186,2021,51,0.5,0.2,167300,155000,1118,372,935,737
zcta,37187,2021,60,0.8,1.3,190300,198100,1223,404,1097,1226
zcta,37188,2021,411,2.5,2.3,234500,255600,1482,475,1611,1519
zcta,37189,2021,2193,49.7,43.0,289700,178400,1841,511,2364,1579
zcta,37190,2021,163,1.9,2.1,195200,155100,1184,417,994,1149
zcta,37191,2021,134,3.1,5.1,201300,160700,1331,434,1406,1408
zcta,37201,2021,155,10.5,0.0,270200,418800,1191,777,1890,3768
zcta,37203,2021,4581,25.3,13.5,407600,372200,2031,734,2885,2650
zcta,37204,2021,2038,12.0,7.2,702000,487400,2653,673,4446,3735
zcta,37205,2021,1419,5.6,0.9,713600,670600,2984,935,4955,5476
zcta,37206,2021,8624,30.1,13.0,401000,291500,1958,567,2847,2319
zcta,37207,2021,24760,60.8,63.4,244500,173400,1341,419,1561,1304
zcta,37208,2021,12050,61.6,49.5,339000,265300,1638,453,2057,1543
zcta,37209,2021,7460,20.0,8.7,396300,330900,1895,508,2633,2239
zcta,37210,2021,5535,33.4,7.4,259600,233200,1437,419,1633,1386
zcta,37211,2021,12853,17.1,11.8,286900,275700,1483,466,1873,1811
zcta,37212,2021,2518,12.0,7.7,674300,607600,2956,790,5455,4815
zcta,37213,2021,12,26.7,,,,,,,
zcta,37214,2021,6603,21.1,9.2,242000,230700,1333,405,1627,1508
zcta,37215,2021,367,1.6,1.3,730600,696300,3163,944,5340,5184
zcta,37216,2021,4072,21.2,19.0,327700,318100,1673,487,2220,2144
zcta,37217,2021,10821,34.8,25.7,209800,221500,1322,442,1500,1433
zcta,37218,2021,10615,70.5,76.4,216900,200300,1339,453,1444,1202
zcta,37219,2021,0,0.0,0.0,339600,280600,2198,835,2655,
zcta,37220,2021,183,2.8,2.9,560300,548700,2661,762,4174,3965
zcta,37221,2021,3314,7.8,4.4,335300,320400,1802,590,2312,2160
zcta,37228,2021,714,43.3,,,,,,,
zcta,37232,2021,0,,,,,,,,
zcta,37238,2021,0,,,,,,,,
zcta,37301,2021,11,1.1,0.0,99000,95900,705,274,427,521
zcta,37302,2021,175,3.5,1.9,346000,265200,2228,456,1728,1804
zcta,37303,2021,1281,5.2,4.0,162300,160900,1154,379,786,762
zcta,37305,2021,0,0.0,0.0,,60200,625,295,199,302
zcta,37306,2021,172,7.7,7.9,161700,170100,1198,506,925,1000
zcta,37307,2021,60,1.2,0.0,159200,89600,1007,331,1164,772
zcta,37308,2021,28,1.2,0.0,212800,210500,1356,334,1191,1032
zcta,37309,2021,2,0.1,0.0,181900,95600,1042,290,641,447
zcta,37310,2021,131,3.9,3.7,170000,176300,964,369,894,943
zcta,37311,2021,2886,9.6,3.6,166000,160000,1112,403,1019,979
zcta,37312,2021,1728,4.8,2.5,227300,201700,1430,410,1293,1245
zcta,37313,2021,0,0.0,0.0,131000,134800,861,345,558,678
zcta,37315,2021,161,9.1,,,,,,,
zcta,37316,2021,0,,,,,,,,
zcta,37317,2021,9,0.3,0.0,110000,146500,1032,380,784,654
zcta,37318,2021,144,7.8,10.2,127700,77400,841,429,869,697
zcta,37321,2021,434,2.1,1.2,147400,121200,1084,358,789,686
zcta,37322,2021,200,2.4,1.7,133600,154000,1057,331,665,589
zcta,37323,2021,517,1.7,0.6,171600,151300,1180,349,877,707
zcta,37324,2021,476,9.2,3.8,181100,115300,1369,379,934,857
zcta,37325,2021,0,0.0,0.0,176200,79000,1170,329,954,630
zcta,37326,2021,9,1.8,0.0,177500,110400,1049,308,650,647
zcta,37327,2021,67,0.6,0.0,160700,142300,1143,351,806,783
zcta,37328,2021,0,0.0,0.0,181300,120600,1208,434,772,
zcta,37329,2021,2,0.0,0.0,136500,118700,953,309,560,494
zcta,37330,2021,152,2.3,3.0,150000,152100,1099,343,914,897
zcta,37331,2021,469,6.8,4.1,106100,121100,975,395,679,482
zcta,37332,2021,31,1.4,0.0,116200,179800,1102,442,619,964
zcta,37333,2021,0,0.0,0.0,,66000,742,265,,199
zcta,37334,2021,2150,8.9,5.0,162800,155600,1182,407,925,855
zcta,37335,2021,0,0.0,0.0,166500,124100,1157,377,678,606
zcta,37336,2021,214,4.1,3.3,198500,124400,1354,330,969,726
zcta,37337,2021,0,0.0,0.0,178400,57300,1202,335,,
zcta,37338,2021,71,2.4,1.9,122000,102200,1140,325,931,646
zcta,37339,2021,6,0.4,0.0,105800,116600,1063,285,811,550
zcta,37340,2021,0,0.0,0.0,,,,268,,336
zcta,37341,2021,1343,10.2,8.4,170800,191200,1217,390,1286,1188
zcta,37342,2021,5,0.1,0.0,137800,181900,969,363,836,757
zcta,37343,2021,2268,5.5,2.0,203700,211600,1283,450,1759,1836
zcta,37345,2021,97,3.8,3.4,123200,157900,1097,343,1090,982
zcta,37347,2021,420,5.1,3.9,133800,94500,1054,310,893,625
zcta,37348,2021,0,0.0,0.0,,,1295,578,,
zcta,37350,2021,24,1.2,1.1,645000,427300,3005,1126,5587,5050
zcta,37351,2021,35,12.1,0.0,135900,109300,715,348,,
zcta,37352,2021,94,3.0,3.0,270300,176000,1318,346,1140,955
zcta,37353,2021,69,1.4,0.7,241000,133300,1454,428,1096,849
zcta,37354,2021,297,1.7,1.3,161200,138700,1103,328,720,762
zcta,37355,2021,1056,3.7,0.9,193500,182100,1255,382,1396,1097
zcta,37356,2021,22,0.8,0.0,273300,267600,1375,481,1174,946
zcta,37357,2021,408,7.3,3.2,126600,147900,1020,342,536,673
zcta,37359,2021,66,6.1,5.4,225000,154700,1216,305,1071,579
zcta,37360,2021,7,0.4,0.0,229200,186900,1172,383,969,1066
zcta,37361,2021,0,0.0,0.0,273000,115200,980,422,868,1121
zcta,37362,2021,0,0.0,0.0,136100,62200,1030,254,772,421
zcta,37363,2021,3313,8.4,6.2,268800,279000,1540,502,1636,1845
zcta,37365,2021,0,0.0,0.0,143400,,1246,306,581,252
zcta,37366,2021,3,0.3,0.0,138300,72600,1023,342,659,508
zcta,37367,2021,1115,9.4,0.9,183500,142300,1030,320,914,583
zcta,37369,2021,74,15.2,0.0,,186100,1607,343,,412
zcta,37370,2021,47,0.8,1.6,151700,252100,1103,351,802,609
zcta,37373,2021,16,0.5,1.0,278700,137500,1481,377,1394,1016
zcta,37374,2021,0,0.0,0.0,222200,252300,1456,429,,
zcta,37375,2021,102,2.6,0.0,303500,244400,1377,493,1061,1543
zcta,37376,2021,0,0.0,0.0,,66800,1077,,,
zcta,37377,2021,104,0.6,0.1,380000,341400,2064,582,2605,2770
zcta,37379,2021,255,0.9,0.7,224600,172400,1343,419,1441,1230
zcta,37380,2021,400,6.4,7.2,140800,99800,1240,310,826,488
zcta,37381,2021,65,0.7,0.6,183800,128600,1113,319,932,830
zcta,37383,2021,11,3.5,,,,,,,
zcta,37385,2021,0,0.0,0.0,156800,131000,994,312,708,661
zcta,37387,2021,0,0.0,0.0,115900,92400,952,329,672,464
zcta,37388,2021,1203,4.6,2.4,172600,162400,1208,436,1260,1347
zcta,37391,2021,0,0.0,0.0,154800,125000,1155,362,819,769
zcta,37394,2021,14,14.1,17.0,226900,,1159,410,708,476
zcta,37396,2021,0,0.0,0.0,117400,,862,,,
zcta,37397,2021,106,1.1,2.2,126800,132700,1107,379,629,683
zcta,37398,2021,870,5.6,6.5,168400,173700,1201,473,1092,1347
zcta,37402,2021,2408,56.1,19.1,419200,225000,2078,,3375,
zcta,37403,2021,1172,15.7,15.9,358200,541700,1902,1036,4168,
zcta,37404,2021,5589,42.5,44.2,194700,137700,1305,385,1860,1051
zcta,37405,2021,854,4.5,2.2,345500,275300,1842,619,2765,2763
zcta,37406,2021,9989,75.4,67.1,135500,133800,1032,397,1254,1347
zcta,37407,2021,3290,32.4,20.1,99100,72100,858,322,925,652
zcta,37408,2021,597,28.1,18.4,382000,265400,2047,487,3267,2129
zcta,37409,2021,322,9.5,14.8,206900,203900,1368,392,1186,1674
zcta,37410,2021,2723,81.4,83.1,63300,62700,668,324,897,816
zcta,37411,2021,9292,50.6,43.7,147200,155500,1081,465,1636,1487
zcta,37412,2021,2653,12.1,3.3,135500,162100,1074,429,1366,1466
zcta,37415,2021,1726,7.6,1.8,192400,199300,1255,459,1693,1785
zcta,37416,2021,6911,46.9,37.4,146800,165100,1138,434,1326,1624
zcta,37419,2021,351,5.7,0.0,247100,224700,1499,539,2212,3004
zcta,37421,2021,11794,22.0,14.8,223600,231500,1393,485,1876,2066
zcta,37450,2021,0,,,,,,,,
zcta,37601,2021,2130,5.8,1.8,151300,153200,1112,363,1199,1128
zcta,37604,2021,2742,7.4,4.2,196000,154600,1294,399,1482,1377
zcta,37614,2021,419,15.7,,,,,,,
zcta,37615,2021,202,0.9,1.0,199500,222000,1258,444,1229,1253
zcta,37616,2021,4,0.1,0.0,158800,120500,1155,317,675,513
zcta,37617,2021,108,0.7,0.0,176200,166000,1161,388,925,907
zcta,37618,2021,93,0.7,0.2,149500,130600,1088,342,800,772
zcta,37620,2021,912,2.4,1.2,149200,119500,1090,355,1132,938
zcta,37640,2021,0,0.0,0.0,175000,72400,1024,254,836,387
zcta,37641,2021,38,0.4,0.0,170900,127700,1024,309,751,751
zcta,37642,2021,119,0.8,0.9,155700,126500,1112,351,1179,968
zcta,37643,2021,546,1.6,1.2,136200,123500,979,343,816,810
zcta,37645,2021,37,0.7,0.5,149500,161900,1059,412,1042,1511
zcta,37650,2021,28,0.2,0.0,126100,128400,918,349,779,728
zcta,37656,2021,0,0.0,0.0,207500,178700,1107,373,693,1045
zcta,37657,2021,0,0.0,0.0,210400,172900,1326,410,857,1139
zcta,37658,2021,3,0.1,0.0,169800,122900,994,272,906,575
zcta,37659,2021,295,1.0,1.2,195700,164500,1192,376,1222,1014
zcta,37660,2021,1565,4.0,2.1,148600,125000,1065,332,1181,983
zcta,37663,2021,32,0.2,0.0,183200,181100,1188,388,1257,1154
zcta,37664,2021,447,1.6,1.4,180200,148600,1212,390,1311,1210
zcta,37665,2021,67,1.3,0.0,105000,90700,850,286,1039,789
zcta,37680,2021,0,0.0,0.0,,325900,,316,,669
zcta,37681,2021,49,0.8,1.3,157900,147300,1044,321,861,759
zcta,37682,2021,6,1.0,0.0,,,,,,
zcta,37683,2021,703,5.0,0.2,136100,134800,877,304,606,601
zcta,37686,2021,25,0.3,0.0,252600,137200,1524,355,1361,759
zcta,37687,2021,47,1.0,0.0,130700,87900,1102,256,750,531
zcta,37688,2021,0,0.0,0.0,111800,125500,968,280,623,441
zcta,37690,2021,44,0.9,1.4,170200,152200,1305,343,878,753
zcta,37691,2021,0,0.0,0.0,,,,,,
zcta,37692,2021,39,0.8,0.0,184100,162600,1296,382,1125,811
zcta,37694,2021,29,1.4,3.8,184800,132700,1349,357,1043,766
zcta,37701,2021,873,10.4,10.1,162900,183500,1162,457,1372,2052
zcta,37705,2021,0,0.0,0.0,274700,147900,1408,334,1291,1163
zcta,37708,2021,63,1.0,1.5,130500,122800,986,357,817,632
zcta,37709,2021,0,0.0,0.0,192300,124400,1332,379,983,741
zcta,37710,2021,0,0.0,0.0,78100,48000,762,293,394,288
zcta,37711,2021,0,0.0,0.0,128900,67300,936,274,826,459
zcta,37713,2021,0,0.0,0.0,85800,113200,750,230,672,683
zcta,37714,2021,0,0.0,0.0,129600,184100,1046,396,669,727
zcta,37715,2021,0,0.0,0.0,64000,99200,,310,527,336
zcta,37716,2021,387,1.5,1.1,168700,158400,1187,388,1045,1019
zcta,37719,2021,0,0.0,0.0,,,,,,
zcta,37721,2021,107,0.8,0.1,177800,153900,1130,340,958,772
zcta,37722,2021,0,0.0,0.0,156000,139100,1153,367,970,681
zcta,37723,2021,0,0.0,0.0,90300,118100,777,250,368,356
zcta,37724,2021,15,0.6,0.0,176100,101800,1073,339,909,548
zcta,37725,2021,280,1.6,1.8,173100,182300,1178,372,885,886
zcta,37726,2021,6,0.3,0.0,214600,80700,1074,336,707,458
zcta,37727,2021,0,0.0,0.0,141300,101900,970,297,692,643
zcta,37729,2021,0,0.0,0.0,65700,74100,800,312,,388
zcta,37730,2021,0,0.0,0.0,,,,,,
zcta,37731,2021,0,0.0,0.0,104200,,718,163,447,199
zcta,37732,2021,0,0.0,0.0,,,,,,
zcta,37733,2021,0,,,,,,,,
zcta,37737,2021,35,0.6,0.9,267900,160700,1458,421,1278,959
zcta,37738,2021,265,5.3,1.8,229400,227600,1174,400,973,739
zcta,37742,2021,31,0.5,1.2,230400,247900,1331,366,1067,1190
zcta,37743,2021,528,2.1,2.6,161600,142800,980,333,763,694
zcta,37745,2021,659,3.4,0.3,149000,167500,1090,348,774,840
zcta,37748,2021,817,5.0,5.6,142200,105000,1142,381,925,752
zcta,37752,2021,65,1.1,0.5,150900,143200,974,334,734,654
zcta,37753,2021,2,0.2,0.0,152300,76200,1118,333,895,550
zcta,37754,2021,36,1.0,0.0,172300,91100,1101,335,1203,688
zcta,37755,2021,41,1.4,0.0,102700,59800,894,247,,508
zcta,37756,2021,22,0.7,0.0,87900,78700,768,325,560,443
zcta,37757,2021,20,0.2,0.0,152800,129100,1118,393,717,704
zcta,37760,2021,393,2.8,0.6,176800,187200,1160,420,980,1243
zcta,37762,2021,52,2.0,0.0,208200,61000,1122,304,936,392
zcta,37763,2021,503,3.1,0.4,182900,222200,1351,461,1212,1398
zcta,37764,2021,0,0.0,0.0,205200,142400,1075,355,824,641
zcta,37765,2021,0,0.0,0.0,,,826,248,,
zcta,37766,2021,39,0.2,0.2,130000,85300,929,338,630,433
zcta,37769,2021,35,0.6,0.0,161600,164300,1310,386,954,729
zcta,37770,2021,0,0.0,0.0,157900,86700,1163,358,1090,750
zcta,37771,2021,266,1.5,0.9,213900,142100,1157,322,769,667
zcta,37772,2021,133,1.0,0.0,274700,348400,1504,517,1209,1355
zcta,37774,2021,210,1.1,0.3,211800,289300,1315,400,1105,1314
zcta,37777,2021,614,4.7,4.8,240800,242700,1437,453,1307,1210
zcta,37779,2021,0,0.0,0.0,139000,102200,1087,294,616,539
zcta,37801,2021,547,2.0,1.6,222000,153100,1362,352,1319,919
zcta,37803,2021,286,0.9,0.6,237900,230200,1354,433,1355,1362
zcta,37804,2021,684,2.5,1.6,182500,162800,1242,368,1225,1052
zcta,37806,2021,100,3.2,2.5,145000,116000,909,307,638,589
zcta,37807,2021,115,1.0,0.0,147900,152500,1097,332,642,682
zcta,37809,2021,26,1.2,0.0,109100,121500,959,299,478,605
zcta,37810,2021,0,0.0,0.0,101400,88500,889,334,691,600
zcta,37811,2021,31,0.7,0.0,110700,128700,1011,326,483,622
zcta,37813,2021,844,4.8,1.4,118000,118600,904,340,689,648
zcta,37814,2021,1491,4.4,4.7,157100,151100,1101,358,829,839
zcta,37818,2021,27,0.5,0.2,128600,82000,891,268,588,405
zcta,37819,2021,0,0.0,0.0,186900,88300,943,403,,489
zcta,37820,2021,97,1.3,1.8,157200,152900,1000,376,795,829
zcta,37821,2021,514,2.4,1.1,122600,96900,993,361,1050,767
zcta,37825,2021,162,1.8,0.0,116200,82400,935,290,582,583
zcta,37826,2021,138,3.1,1.8,165200,137300,1063,338,520,527
zcta,37828,2021,6,0.4,0.0,263600,255300,1660,468,1877,1616
zcta,37829,2021,0,0.0,0.0,131900,77000,1071,372,747,492
zcta,37830,2021,1985,6.3,7.5,171000,172900,1309,514,1682,1932
zcta,37840,2021,0,0.0,0.0,144300,139400,1171,416,987,1035
zcta,37841,2021,16,0.2,0.0,132000,103000,1009,324,816,637
zcta,37843,2021,195,4.6,7.3,135500,155100,994,365,752,887
zcta,37845,2021,0,0.0,0.0,,,,,,
zcta,37846,2021,209,5.0,0.8,159700,118400,1051,353,791,616
zcta,37847,2021,0,0.0,0.0,67300,103900,938,325,428,567
zcta,37848,2021,0,0.0,0.0,135400,,970,,767,
zcta,37849,2021,549,1.9,1.2,207300,175600,1342,384,1121,936
zcta,37851,2021,0,,,,,,,,
zcta,37852,2021,0,0.0,0.0,116600,108900,816,334,530,525
zcta,37853,2021,113,3.4,3.3,210100,151000,1329,341,1234,778
zcta,37854,2021,88,0.7,0.5,122500,103300,1113,362,766,631
zcta,37857,2021,394,1.9,2.4,147900,110100,1002,286,883,675
zcta,37860,2021,0,0.0,0.0,151200,121100,1105,282,701,503
zcta,37861,2021,7,0.1,0.1,184100,77900,1157,304,971,434
zcta,37862,2021,202,0.9,0.3,251700,207500,1306,330,951,814
zcta,37863,2021,9,0.1,0.0,180000,196500,958,419,598,756
zcta,37865,2021,222,0.9,0.2,221500,190400,1346,347,879,811
zcta,37866,2021,0,0.0,0.0,270200,218900,1119,294,774,887
zcta,37869,2021,24,0.5,0.0,121000,78800,931,265,662,386
zcta,37870,2021,0,0.0,0.0,173200,77400,1182,310,910,513
zcta,37871,2021,133,1.5,0.0,161800,129600,1009,328,676,544
zcta,37872,2021,0,0.0,0.0,106500,96800,883,343,786,763
zcta,37873,2021,22,0.5,0.0,130600,98000,979,286,976,570
zcta,37874,2021,565,3.6,2.3,137700,133800,1040,330,660,680
zcta,37876,2021,416,1.3,0.0,219100,172500,1191,345,758,641
zcta,37877,2021,171,1.9,2.2,162500,132700,1122,321,795,654
zcta,37878,2021,0,0.0,0.0,165700,158000,967,250,,757
zcta,37879,2021,22,0.2,0.1,115100,109100,860,298,605,584
zcta,37880,2021,90,2.3,1.4,143900,190200,1113,343,704,525
zcta,37881,2021,0,0.0,0.0,136900,104000,872,279,724,393
zcta,37882,2021,23,0.8,0.9,324600,198500,1616,385,1524,1276
zcta,37885,2021,143,2.4,0.0,283200,189000,1288,371,1400,986
zcta,37886,2021,0,0.0,0.0,162200,199300,1065,394,967,1184
zcta,37887,2021,1159,16.0,0.0,92000,111300,917,356,639,787
zcta,37888,2021,0,0.0,0.0,124700,97200,967,275,860,421
zcta,37890,2021,12,0.2,0.0,140500,160700,1025,365,864,880
zcta,37891,2021,0,0.0,0.0,141600,95500,963,271,674,588
zcta,37892,2021,11,0.5,0.0,111000,90700,981,265,704,449
zcta,37902,2021,163,6.9,0.0,374600,452100,2175,870,3082,4479
zcta,37909,2021,857,5.3,1.3,215800,191500,1415,525,1825,2308
zcta,37912,2021,3638,16.7,11.9,145800,129000,1035,370,1145,1193
zcta,37914,2021,7891,38.5,32.6,146700,158600,1148,411,981,1079
zcta,37915,2021,2916,56.1,81.0,168200,173300,999,331,1301,1509
zcta,37916,2021,872,6.2,0.0,242700,248600,1213,,1207,
zcta,37917,2021,3396,13.2,7.3,142800,114800,1054,424,1105,1086
zcta,37918,2021,3022,6.5,2.7,180600,169500,1219,437,1101,1043
zcta,37919,2021,1453,4.9,0.9,366300,276500,1923,568,2580,1910
zcta,37920,2021,2680,6.4,2.0,153200,163100,1132,393,999,1033
zcta,37921,2021,5598,19.7,15.0,147600,137500,1123,422,1301,1057
zcta,37922,2021,1422,3.6,3.2,362900,361500,1811,492,1742,1766
zcta,37923,2021,2436,7.6,4.9,237200,220700,1445,434,1182,1139
zcta,37924,2021,1020,7.6,8.3,182200,142800,1229,329,837,768
zcta,37929,2021,0,,,,,,,,
zcta,37931,2021,1296,4.4,2.0,262900,226600,1515,381,1243,1085
zcta,37932,2021,357,1.8,1.9,299100,242400,1607,441,1431,1315
zcta,37934,2021,242,0.9,0.5,367200,345800,1783,522,1918,1680
zcta,37938,2021,235,1.4,0.4,232200,194800,1369,392,1131,930